title,section_id,section_title,clean_content
Suporte - Hubla,3939,☁️ Introdução | Entendendo seus ganhos,acompanhando ganhospor enquanto consulta resultados performance previsão ganhos ainda implementadas portal proportanto confira aquios resultados dia sempre atualizados início dia seguinte resultados dia sempre atualizados início dia seguinte
Suporte - Hubla,4181,☁️ Introdução | Treinamento obrigatório,neste treinamento vamos mostrar etapa etapa dia dia vamos falar sobre principais pontos precisam saber antes começar atuarvamos começar principal ponto mínimo esperado saiba antes comece atuar projetoa resposta simples precisa sabervocê passará período teste chamado early education período onde vamos responder tickets reais aplicando todo conhecimento deste treinamento conteúdo portal três blocos 3 atendimentos cada onde primeiros 3 tickets mínimo acerto problem solved segundo bloco 3 tickets precisamos acertar menos 2 tickets terceiro bloco 3 tickets precisamos acertar todos tickets respondidosnbspé necessário responder menos 3 tickets dois primeiros dias convocado enbspliberado cloudchat responder neste período bloqueado inatividade dará lugar outra pessoa interessada caso ocorra algum problema contato através canais comunicação informe situaçãoatenção erros graves atendimentos poderão tirar período teste qualquer etapa exemplos ofensas cliente resolver n1 deveria ter sido escalado envio macros aleatóriaseste período early education destinado prática conteúdo todos tickets passarão análise time fará devolutiva através portal pro apontando pontos melhora erros cometidos sempre voltados melhora aprendizagemapós período estará apto responder tickets forma normal avaliado através notas problem solved pro lovenbsppara começar atuação plataforma desde passará passosnbsponde links vou precisar acessar dia diadiscord enviado emailcloud chat pode acessar através portal proback office somente projetos possuem recurso pode acessar através portal proportal prodashboard acompanhar ganhos localizado sessão ganhos portal pronbspnbsppor onde começonbspdeixe aberto todas links irá utilizarclique canto superior esquerdo portal pro botão escrito verde água alterar selecione projeto irá atuarselecione campo projeto abrir conteúdo projeto irá atuar estude sessão apresentação empresa conteúdos interessante familiarize seção conteúdo n1 n2 entender distribuição conteúdos procurar assunto problema cliente achar resposta neste espaçoapósnbspconcluir estudo sobre empresa clientes linguagem utilizada comunicar abra cloud chat ter contato inicial ferramentanbspnbspo próximo passo ir seção conversas atribuídas selecionar conversa tempo espera escrito x minutos clicar atribuir mandar macro saudação desculpe demora adequada situaçãopara ver macros podemos clicar base conhecimento botão azul localizado inferior tela digitar conteúdo deseja procurar esqueça macros 4 linhas devemos dividir mandar individualmenteentender problema cliente necessário consultar back office buscar informações realizar solicitaquando problema resolvido tag n1 ounbspquando conseguirmos resolver escalar empresa cliente resolver tag n2 vamos atribuir tag corresponde problema campo marcador conversanbspnbspimportante sempre devemos perguntar podemos ajudar algo antes fechar ticketsapós enviar macro encerramento adequado macros conduzem processo escalar n2 botão enviar n2 irá aparecer após colocar tag campo marcador conversase escalar n2 precisamos resumir palavras conversa próxima pessoa continuar atendimento contexto situação saiba dar continuidade atendimento forma rápidanbspnbspapós preencher todos campos necessários encaminhamento usar macro adequado incluir tag correta podemos encerrar atendimento ir próximo atendimentonbspnbsprelembrando métricas importantesnbsppro loveenviou macro saudação adequadaenviou macro pedindo desculpas atraso necessárioadaptou atendimento humor clienteutilizou ganchos possíveladaptou macros enxugando conteúdo desnecessárioquebrou macros 4 linhas exceto email mensagens menoresutilizou tom voz adequado empresa projetoresolveu problema clienteenviou macro encerramento adequadafez bom uso gramática coesão coerênciaproblem solvedo problema endereçado corretamenteo problema resolvidoo pro leu todo histórico compreendeu problema clienteo pro colocou tag acordo processo sugeridoselecionou macro correta sempre oportunidades tevefez mudança abordagem humanizada macros funcionavamdeu informações corretassla pronbsptempo primeira resposta menos 5 miné diferença tempo atribuição ticket primeira mensagem enviada independentemente tempo ticket backlog tempo conta sla pro somente após atribuiçãonbspnbspo ticket bem atendidonbspvamos trazer alguns exemplos atendimento uau aplicado prática métricas pro love pro score chatnbspexemplo caso n1 nbspnbspexemplo caso n1 respostanbspnbspexemplo caso n2 nbspnbspexemplo caso n2 nbspexemplo email nbsp
Suporte - Hubla,1469,🎥 Apresentação 1 | O que é a empresa Hubla e quem são os clientes que vamos atender,empresa hublaa hubla solução criadores conteúdo possam criar comunidades digitais através plataforma possível criar grupo pago whatsapp telegramos bots integram sistema financeiro grupos então assim membro assina grupo automaticamente acesso grupo liberado pagamento falha assinatura expira removido automaticamente tambémna hubla possível ter acesso feed exclusivo membros onde possível postar todo tipo material apoioaprenda emhttpshublaclientes hublaé sempre importante hora fazer atendimento qualidade endereçar corretamente dúvida cliente entender falando aqui hubla precisamos entender falamos membro afiliado criador cada ticket atendido vamos fazer verificação através dúvidas cliente trás algumas características disponíveis backofficemembrotambém chamado assinante grupo usuário compra grupo hubla membro grupo comprado pode criador grupo vendêlo hubla entretanto vamos identificalo acordo demandas verificando contato backofficedúvidas frequentes membro alguém queira tornar membrogostaria comprar grupo dúvidas sobre pagamentogostaria comprar grupo encontrei link pode ajudargostaria cancelar assinaturaquero pedir reembolso grupo compreinão consigo entrar grupo preciso ajuda identificar membro através backoffice link vídeohttpswwwloomcomsharefed77db6dcd5443aa1b6425d260ca219criadortambém chamado produtor conteúdo dono grupo vendido hubla criador pode membro grupo comprado além grupo criadodúvidas frequentes criador alguém queira tornar criadorestou tentando fazer saque vendas consigo pode ajudarcomo fazer criador hublagostaria ajudar membro grupo acesso pode ajudar identificar criador através backoffice link vídeohttpswwwloomcomshare5a0576c1f98548619e4361666a0380c0afiliadousuário afilia grupo criador recebe comissão vendas programa afiliados hubla permite pessoa cadastrar afiliado grupo criar link exclusivo seguida vender conteúdo produtor através desse link venda indivíduo vendeu grupo ganha comissão previamente definida administrador ganha vendadúvidas frequentes afiliadoou alguém queira tornar afiliado identificar afiliado através backoffice link vídeohttpswwwloomcomshared327a4c66b2247a9820eabf08c57a671observaçõesatravés hubla criador vender grupo pago grupo inclui página hubla onde podem postados conteúdos grupo whatsapp telegram grupo possui robô hubla número inserido admin grupo faz toda gestão pagamentos removendo inadimplentes automaticamentemuitas vezes produtor pode entrar contato buscando ajuda membros motivo contato n1 atendimento pode realizado orientando produtor repassar informações membroaprenda httpshelphubla
Suporte - Hubla,1470,🎥 Apresentação 2 | Como comunicar com os clientes,comunicarpersonaa hubla empresa jovem forte senso comunidadea hubla usa primeira pessoal plural expressa equipe ex gente amamosnão escrevem errado super formala hubla fala igual pra igual deixa informações clarasrápidadireta pontodescontraída brinca palavras situaçõesentusiasmada dedicada curiosa corajosaa hubla cria constrói junto detalhes tá grupo sabea hubla sempre coloca lugar cliente muita empatia respeitando limites estipulados clientetom voza hubla bem humorada livre ágil fala língua povo simples descomplicada deixa nenhuma informação compreensiva entusiasmada sempre disposta entender resolver problemasa hubla empática leve informal perder profissionalismo assertivo mensagem importante rude agressivo excessivamente direto defensivoa melhor forma demonstrar empatia cliente ouvir dizer tentar ajudálo melhor forma possívelleia tudo cliente disse antes iniciar atendimentofaça perguntas antecipando possíveis respostas cliente presumir entendeu problemafaça investigação minuciosaapresente soluções façam sentido cliente hublanós hubla cliente entra contato suporte falando hubla nunca refira hubla terceira pessoa pois cria distanciamento marcanbsprevisando algumas regrascaso cliente entenda algo repita dito utilizando outras palavras tentando didático possívelnbspuse tom voz adequado caso precise perguntar vez exemplo desculpe entendi bem poderia passar alguns detalhes ter certeza entendi questãoouça tudo cliente dizer interrompa linha raciocínio somente após dizer tudo deve tomar ações necessáriasnbsptente falar língua cliente aplique comunicação assertiva usuárionbsppor exemplo use termos rebuscados cliente sabe vai compreender personalize humanize atendimentonão íntimo demais use palavras querido amor bem mantenha profissionalismosem gerundismo vou ajudandono whatsapp quebrar mensagens textos menores melhor compreensãofaça uso linguagem positiva transfira foco atendimento enfatizando lado positivo situações tratadasnão use abreviações tbm vcnbspusamos abreviaçãonão apenas siglasusamos emojissimgírias emojis usamos demonstrar felicidade demonstrar amorcarinho reforçar positividade reforçar algo sendo dito comunicados confirmar impulsionar interação usuárioobsatenção emojis devem usados forma moderada sutil façam sentido contexto conversagírias emojis usamos conotação sexual geralmente usado expressar ok porém podem confundidos gesto obsceno rudepalavras termos usamosnome pessoa atendendohahahainiciar frase sempre letra maiúsculaokbelezashowmaravilhanome parceiros grafia correta whatsapp telegrampalavras termos usamosdaoramanocaraoxente éguatremexpressões regionais todovc tbm qndo abreviações tipoiniciar frases letra minúsculaenviar mensagens antes checar erros gramática concordância palavras repetidas várias vezes mesma frase fazem sentido contexto conversaafirmar eou inventar informações sobre produto ter certeza desteignorar perguntas diretas cliente ainda deixando dúvidasevitar falas gerúndio verificando estarei dando olhada invés disso use vou verificar retorno vou dar olhada retornoimportantenas saudações apresentar semprese cliente empresa pergunte nome pessoa falandonbspnas interações pessoa solicitante chamarsemprepelo nome pessoa casos onde pessoa identifique possível ter informação cloudchat pergunte cliente chamacaso explicado pessoa solicitante sobre dúvidasolicitação ainda assim pessoa solicitante ficou satisfeita continua dúvidas tente explicar outra formasemprese atentando tom voz empatia prestando atendimento cordial atenciosonuncautilize expressões expliquei acima veja mensagem mandei anteriormente basta ver mandei pois tom voz grosseiro inadequadocomece frases atendimentosemprecom letra maiúscula enuncamantenha letras maiúscula caixa alta todas palavras atendimento
Suporte - Hubla,1471,🎥 Apresentação 3 | Aprendendo a utilizar a ferramenta de BackOffice da Hubla,exemplos situações podemos responderquando enviamos mensagem solicitante requisitando alguma informação comprovação adicional solicitante responde demora responderquando enviamos solicitante macro anterior onde constava pergunta sentido ajudar algo solicitante retornaquando queremos dar duplaconfirmação todas dúvidas sanadas ainda alguma outra dúvida solicitaçãoobservaçõesessa macro triagem meio conversa focada direcionar fim tratativa ticket deve usada abertura fechamento ticket ainda usada responder dúvida solicitação lead diretamenteaplicável somente tickets chat portanto necessárias caso emailmacros ativasnome macrorespostapendente_semretornodosolicitante usar oi ai ajudo algo aguardo importante macro resposta pendente pode enviada após 30 minutos inatividade cliente
Suporte - Hubla,3956,🎥 Apresentação 4 | Contato dos criadores de Hubla,algum cliente entrar contato querendo informações sobre grupos detalhes dinâmica conteúdos promoções apostas respondemos geralmente assima hubla apenas meio conectar administrador grupo participante possuímos detalhes funcionamento dinâmica conteúdos aposta promoções grupos caso alguma dúvida relação preciso entrar contato dono grupo canalao final colocar contato grupo obs alguns contatos instagram outros telefones whatsapptelegram outros plataformaslista completa consulta linkhttpsdocsgooglecomspreadsheetsd1r8u20vfofstsxsotj8k0ag0qplykg8jujsn9yxeopjueditgid0blaze pro gt suporteblazepro suporteblazepro1 ambos telegramcardápio semanal caputo gt 55 31 96457394 55 19 992668060cartola corner httpswwwinstagramcomcartolacornerrhlencopytrade lucrativo gt httpswwwinstagramcomthcodeasmcrash prime gt httpswwwinstagramcomsinaiscrashprimedesafio agora vai gt httpswwwinstagramcomagoravaicomcarolerodaikaempredoc gt httpswwwinstagramcomempredocfilé robôs rodrigo filé gt httpswwwinstagramcomrodrigofilehfornecedoresgrupo vip gt httpswwwinstagramcomrevendaroupasfemininasfox sinais gale gt httpswwwinstagramcomfox_sem_galefreebetei gt httpswwwinstagramcomfreebeteifutking gt httpswwwinstagramcomfutebolkingoficialjota investimentos gt httpswwwinstagramcomjotainvestimentosla casa moeda gt httpssuportelacasadamoedacomhcptbrlucrativo pitaco gt httpswwwinstagramcomeduardoocruzortega tips gt httpsbitly3bjhga9pedro feitosa tudo relacionado gt 55 62 93374131pr tips gt httpswame558597930881professor nascimento escanteiover gt instagramcomescanteioverrei cantos gt httpsinstagramcomrei_doscantoutm_mediumcopy_linktábata chang gt httpswwwinstagramcomtabatachangtrading esportivo básico gt httpswwwinstagramcomsalutsatrading like pro store gt httpswwwinstagramcomtradinglikeprovem verão gt httpswwwinstagramcomkettysatovip fut embaixador gt httpswwwinstagramcomg10vanisouza_embaixador
Suporte - Hubla,3957,🎥 Apresentação 5 | Link criadores/grupos de Hubla,link criadoresgrupos hubla enviar clientealves tips gthttpshublagxrn2bjpxvyay6hfb9ihpav betsgthttpshublagbzl7oilvs9vopzjj8q2wblaze pro gthttpshublag4ldjwusyubcphd8lh3qpblog celso araujo 2022 gthttpshublag1420878289bot blaze green duca queiroz gthttpshublagzb0y8tx16itmgsygoua8cardápio semanal caputo gthttpshublacardapiosemanalcartola corner httpshublag1262250178crash prime gthttpshublag1575074874desafio agora vai gthttpshubladesafioagoravaidesafio lelegthttpshublavrfneryfrxqhiorxsceczp2xvu93dr tips vipgthttpshublaghpop1vid06l4bzjr11woempredoc gthttpshublaempredocentão juniorgthttpshublaentaojuniorfilé robôs rodrigo filé gthttpshublafinanceirodofilefornecedoresgrupo vip gthttpshublagwvjyeqgjgziyffjtvqhufox sinais gale gthttpshublag1499497903freebetei gthttpshublafreebeteigrupo vip futebol kelvin menezes gthttpshublaglux6qzq7og4vdht2a5ghguedes tipsgthttpshublagp0vq8vjjqugycdflwookjota investimentos gthttpshublajotala casa moeda gthttpshublag1191820200lucrativo pitaco gthttpshublag1532299842money rain felipe fortunato httpshublag8vzwrgiyqkbmjg5l3leanascimento grupo vip futebol gthttpshublag1329317793ortega tips gthttpshublaortegatipspedro feitosa tudo relacionado gthttpshublag1339016921pr tips gthttpshublagocxqqrindtu2tdhrsjetprofessor nascimento escanteiover gthttpshublaescanteioverrei cantos gthttpshublag1293503458roleta green wolf vip gthttpshublag2sujbncpywf3549hwgyhsamuka invest gthttpshublarobocashoficialsócio campeões mensalgthttpshublagbdh9xf9lpjxk96jwqp4vsócios mkgthttpshublagstbb8myooz0qz1pgc3gcsmartipster vip vitaogthttpshublagdlea0y6lgr2lj9pnhehotábata chang gthttpshublabffpockettrading esportivo básico gthttpshublag1339953193trading like pro store gthttpshublag1560404124vip fut embaixador gthttpshublag1432544488vip pai oficialgthttpshublagzh85omppkdnbrjcq4pu5
Suporte - Hubla,1465,"☁️ Introdução | Boas práticas de atendimento ao cliente (""pro love"") 💖",critérios avaliação projeto utilizou tag correta deveria tag corretacaso escalado n2 fez forma corretausou macros forma corretapro love detalhado abaixométricas formam pro love enviou macro saudação adequadaenviou macro pedindo desculpas atraso necessárioadaptou atendimento humor clienteutilizou ganchos possíveladaptou macros enxugando conteúdo desnecessárioquebrou macros 4 linhas exceto email mensagens menoresutilizou tom voz adequado empresa projetoresolveu problema clienteenviou macro encerramento adequadaobso ticket valor zerado caso identificadas respostas incorretas indevidas improcedentes valor atribuído r000além destas métricas vale pontuar algumas dicas boas práticas diferenciam bom atendimento tão satisfatóriodicas adicionais escrever corretamente profissionalé essencial utilizar gramática correta boa concordância além letras maiúsculas minúsculas maneira apropriada sempre levando conta tom voz projetodar informações precisasinformações precisas objetivas ponto reduzem chances cliente ter tirar dúvidas adicionais aumentando produtividade satisfação solicitanteser gentil educado pacientevamos deparar situações cliente vai satisfeito feliz nesses casos delicados necessário manter profissionalismo gentileza empatia aumentamos chances solucionar problema clienteler histórico ticketé importante entender dito conversa antes ticket chegar evita cliente repetir informações passadaé importante garantir fluidez suporte checar histórico verifique outro pro apresentou durante atendimento caso positivo dê continuidade conversa apresentar novamente
Suporte - Hubla,1472,📍 Conteúdo | Estrutura geral dos Marcadores (Tags ou Categorias),aprendendo sobre marcadoresem todo ticket obrigatório classificar marcador possível fechálo marcador pode entendido tag categoria cada marcador composto seguinte regranível ticket_categoria_subcategoriaexemplo n1_cadastronaplataforma_cadastrodeusuários1 nível ticket n1 pode resolvido n1 n2 deve escalado n2 2 categoria gênero tema principal sobre solicitação dúvida reclamação cliente3 subcategoria assuntos podem encontrados dentro categoriaobs alguns marcadores possuem marcador n1 outros possuem n2 irá depender nível acesso cada assunto lembrese escalar ticket n2 deve manter apenas marcador n2 retire demais marcadores n1 coloque enviar n2 consulte seção conteúdo passar ticket n2 casos n2 caso solicitante deixe responder definir aqui melhor marcador conversa use marcador n1_semresposta n1_nãoticket consulte informações seção conteúdo tickets semresposta nãoticket
Suporte - Hubla,1473,📍 Conteúdo | Estrutura geral das MACROs,aprendendo sobre macrosem todo ticket pode deve usar macros facilitar atendimento solicitante interações priorize uso macro caso pode personalizar sendo freestyle caso usado mesma macro anteriormente dar alguma resposta caso queira tornar tom conversa humano empática personalize macro evite excessos muita atenção tom voz persona empresa solicitou gente utilize interações cada macro composta seguinte regranível ticket_categoria_subcategoria_palavraschave nome macroexemplo n1_cadastronaplataforma_cadastrodeusuários_alterartipodeperfil1 nível ticket n1 pode resolvido n1 n2 deve escalado n2 2 categoria gênero tema principal sobre solicitação dúvida reclamação cliente3 subcategoria assuntos podem encontrados dentro categoria4 palavraschave nome macro nome macro si facilitar busca macros hora atendimento barra busca macro use atalho digite palavras presentes regra acima categoria subcategoria palavraschaveobs padrão conversa chat instagram whatsapp batepapo vivo composto por1 macros saudação2 macros resposta problema apontado pessoa solicitante3 macros respostapendente confirmação melhor analisar problema4 fim macros encerramento macros conduzem processo escalar n2caso conversa canal email use1 macro saudação macro resposta confirmar pode ajudar algo tudo única mensagem2 caso cliente retorne dúvidas use macros resposta dar retorno confirme pode ajudar algo tudo única mensagem3 cliente retornar dizendo problema resolvido dúvidas solicitações envie macro encerramento4 caso cliente abandone contato siga instruções presentes seção conteúdo tickets semresposta nãoticket sempre pergunte final pode ajudar pessoa solicitante algo antes encerrar atendimento
